Year,Question Number,Question,Number of Respondents,Very Satisfied ,Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Very Satisfied or Satisfied
2017, 7-13,Overall quality of customer service,882,22.16,47.61,25.03,3.15,2.05,69.77
2016,26,Overall quality of customer service,1202,22.39,47.83,23.37,4.35,2.07,70.22
2015,Survey Not Conducted,Survey Not Conducted,99999,99999,99999,99999,99999,99999,99999
2014,10b,How easy was the City to contact,493,35.95,46.07,8.26,7.44,2.27,82.02
2014,10c,The way you were treated,493,44.15,40.25,8.83,4.72,2.05,84.39
2014,10d,The accuracy of the information you were given,493,36.76,40.55,14.08,6.51,2.1,77.31
2014,10e,How quickly staff responded to your request,493,38.05,37.63,13.1,7.69,3.53,75.68
2014,10f,How well your issue was handled,493,37.92,34.58,12.5,8.96,6.04,72.5
2013,14b,How easy was the City to contact,428,37.68,44.31,8.06,7.58,2.37,81.99
2013,14c,The way you were treated,428,44.47,40.14,8.17,4.09,3.13,84.62
2013,14d,The accuracy of the information you were given,428,39.51,39.27,13.17,4.63,3.41,78.78
2013,14e,How quickly staff responded to your request,428,40,37.83,9.4,6.27,6.51,77.83
2013,14f,How well your issue was handled,428,37.2,37.2,9.9,8.45,7.25,74.4
2012,14b,How easy was the city to contact,403,36,46,8,6,4,82
2012,14c ,The way you were treated,403,44,38,11,4,3,82
2012,14d ,The accuracy of the information you were given,403,40,37,11,8,4,77
2012,14e ,How quickly responded to request,403,39,38,10,7,6,77
2012,14f ,How well issue was handled,403,40,34,11,9,7,74
2011,14b,How easy was the contact,416,33.17,44.31,13.08,7.75,1.69,77.5
2011,14c,The way you were treated,416,42.82,38.69,11.68,4.62,2.19,81.5
2011,14d,Accuracy of information you were given,416,38.35,38.1,14.79,5.26,3.51,76.4
2011,14e,How quickly staff responded to your request,416,36.54,37.78,13.33,6.67,5.68,74.3
2011,14f,How well your issue was handled,416,37.06,34.83,12.69,8.46,6.97,71.9
2010,14B,How easy was the city to contact,424,37.68,43,10.63,6.76,1.93,80.7
2010,14C,The way you were treated,424,41.56,40.1,11.98,3.91,2.44,81.7
2010,14D,Accuracy of information you were given,424,37.59,39.07,12.78,6.63,3.93,76.7
2010,14E,How quickly staff responded to your request,424,39.51,32.2,16.1,5.37,6.83,71.7
2010,14F,How well your issue was handled,424,36.32,31.96,15.98,7.51,8.23,68.3
